COURSE_ID,NAME
"503","Effective Stakeholder Communication"
"1642","SSCP Certification Prep Course"
"2014","Cloud Service Manager"
"2017","Cloud Security Manager"
"2020","Cloud Technology Associate"
"2112","Cloud Solutions Architect"
"2180","CyberSec First Responder: Threat Detection and Response"
"2362","Modern Web Development"
"2364","CCSP Certification Prep Course"
"2413","TOGAF for Practitioners - Level 1 & 2"
"2505","Agile for Development and Operations Teams"
"2644","Negotiation Skills for Project Managers"
"2653","Leading Complex Projects"
"2657","Effective Facilitation for Business Analysts"
"2658","Project Management, Leadership, and Communication"
"2809","Schedule and Cost Control"
"2811","Risk Management"
"2813","Program Management"
"2816","Project Troubleshooting and Recovery"
"2817","Project Portfolio Management"
"2845","Earned Value Management"
"2919","Business Analysis Essentials"
"2964","Requirements Development, Documentation and Management"
"3401","Computer Hacking Forensic Investigator (CHFI) v9"
"3404","CompTIA Security+ Certification Prep Course"
"3617","Certified Ethical Hacker v10"
"4512","Maximizing your Emotional Intelligence"
"4513","Leading High Performing Teams"
"4519","Leading Continuous Change"
"4995","ITIL Practitioner"
"5056","Business Writing Essentials"
"5966","Technical Communications Essentials"
"6916","Agile Scrum Foundation Certification"
"6943","DevOps Foundation Certification"
"6974","Cybersecurity Specialization: Governance Risk and Compliance"
"7253","VMware Horizon 7: Install, Configure, Manage [V7.3]"
"7990","The Power of Influence in the Workplace"
"8623","Coach.Coach.Coach. - Leading with Impact"
"8947","Communicating for Clarity"
"8963","Consulting Fundamentals (CO10)"
"8964","Analysis and Problem Solving for Consultants (CO20)"
"8965","Making Recommendations - Communications Skills for Consultants (CO30)"
"8966","Developing Client Relationships for Consultants (CO40)"
"8991","Managing Multiple Priorities"
"9803","GK CISSP Certification Prep Course"
"9817","CISM Prep Course"
"9879","Troubleshooting TCP/IP Networks with Wireshark"
"9888","VMware vSphere: Install, Configure, Manage [V6.7]"
"111111","ITIL 4 Foundation Bridge"
"222222","ITIL 4 Foundation"
"2506","Introduction to Agile"
"4277","Introduction to Cybersecurity"
"5165","Getting Started with Python"
"5193","Getting Started with SQLAlchemy"
"5194","Debugging and Profiling"
"5195","Working with JSON data from Python"
